minimum_score,minimum_adx,minimum_rvol,stop_atr,target_r,allow_long,allow_short,starting_capital,ending_capital,net_profit,total_return_pct,trades,win_rate_pct,profit_factor,average_r,max_drawdown_pct,rank_score
80,25,1.2,1.25,2.0,True,False,10000.0,11229.04,1229.04,12.29,21,52.38,2.13,0.56,-2.95,117.856
80,25,1.5,1.25,2.0,True,False,10000.0,11229.04,1229.04,12.29,21,52.38,2.13,0.56,-2.95,117.856
85,25,1.2,1.25,2.0,True,False,10000.0,11229.04,1229.04,12.29,21,52.38,2.13,0.56,-2.95,117.856
85,25,1.5,1.25,2.0,True,False,10000.0,11229.04,1229.04,12.29,21,52.38,2.13,0.56,-2.95,117.856
90,18,1.0,1.25,2.0,True,False,10000.0,10600.02,600.02,6.0,9,55.56,2.41,0.66,-2.94,117.72200000000001
90,22,1.0,1.25,2.0,True,False,10000.0,10600.02,600.02,6.0,9,55.56,2.41,0.66,-2.94,117.72200000000001
90,25,1.0,1.25,2.0,True,False,10000.0,10600.02,600.02,6.0,9,55.56,2.41,0.66,-2.94,117.72200000000001
90,30,1.0,1.25,2.0,True,False,10000.0,10600.02,600.02,6.0,9,55.56,2.41,0.66,-2.94,117.72200000000001
80,22,1.2,1.0,1.5,True,False,10000.0,11329.12,1329.12,13.29,27,59.26,2.09,0.47,-4.9,116.082
80,22,1.5,1.0,1.5,True,False,10000.0,11329.12,1329.12,13.29,27,59.26,2.09,0.47,-4.9,116.082
85,22,1.2,1.0,1.5,True,False,10000.0,11329.12,1329.12,13.29,27,59.26,2.09,0.47,-4.9,116.082
85,22,1.5,1.0,1.5,True,False,10000.0,11329.12,1329.12,13.29,27,59.26,2.09,0.47,-4.9,116.082
80,18,1.0,1.0,2.0,True,False,10000.0,11644.57,1644.57,16.45,32,50.0,1.92,0.49,-3.98,115.91999999999999
90,18,1.0,1.5,1.5,True,False,10000.0,10444.89,444.89,4.45,8,62.5,2.42,0.56,-1.96,115.34000000000002
90,22,1.0,1.5,1.5,True,False,10000.0,10444.89,444.89,4.45,8,62.5,2.42,0.56,-1.96,115.34000000000002
90,25,1.0,1.5,1.5,True,False,10000.0,10444.89,444.89,4.45,8,62.5,2.42,0.56,-1.96,115.34000000000002
90,30,1.0,1.5,1.5,True,False,10000.0,10444.89,444.89,4.45,8,62.5,2.42,0.56,-1.96,115.34000000000002
90,18,1.2,1.25,2.5,True,False,10000.0,10440.4,440.4,4.4,6,50.0,2.39,0.74,-1.98,115.27
90,22,1.2,1.25,2.5,True,False,10000.0,10440.4,440.4,4.4,6,50.0,2.39,0.74,-1.98,115.27
90,25,1.2,1.25,2.5,True,False,10000.0,10440.4,440.4,4.4,6,50.0,2.39,0.74,-1.98,115.27
90,30,1.2,1.25,2.5,True,False,10000.0,10440.4,440.4,4.4,6,50.0,2.39,0.74,-1.98,115.27
80,18,1.2,1.0,2.0,True,False,10000.0,11540.47,1540.47,15.4,30,50.0,1.93,0.49,-2.99,115.16
80,18,1.2,1.0,1.5,True,False,10000.0,11430.18,1430.18,14.3,31,58.06,1.99,0.44,-3.51,115.152
85,18,1.0,1.0,1.5,True,False,10000.0,11431.19,1431.19,14.31,31,58.06,1.99,0.44,-4.9,113.78200000000001
80,18,1.0,1.0,1.5,True,False,10000.0,11487.12,1487.12,14.87,33,57.58,1.95,0.43,-4.47,113.636
80,22,1.2,1.5,1.5,True,False,10000.0,11059.38,1059.38,10.59,22,59.09,2.09,0.47,-2.04,113.50799999999998
80,22,1.5,1.5,1.5,True,False,10000.0,11059.38,1059.38,10.59,22,59.09,2.09,0.47,-2.04,113.50799999999998
85,22,1.2,1.5,1.5,True,False,10000.0,11059.38,1059.38,10.59,22,59.09,2.09,0.47,-2.04,113.50799999999998
85,22,1.5,1.5,1.5,True,False,10000.0,11059.38,1059.38,10.59,22,59.09,2.09,0.47,-2.04,113.50799999999998
80,25,1.0,1.25,1.5,True,False,10000.0,11068.45,1068.45,10.68,22,59.09,2.1,0.47,-2.95,113.12799999999999
85,25,1.0,1.25,1.5,True,False,10000.0,11068.45,1068.45,10.68,22,59.09,2.1,0.47,-2.95,113.12799999999999
85,18,1.0,1.0,2.0,True,False,10000.0,11538.37,1538.37,15.38,30,50.0,1.92,0.49,-4.89,112.87
90,18,1.5,1.25,2.5,False,True,10000.0,10145.04,145.04,1.45,2,50.0,2.42,0.74,-0.99,111.41000000000001
90,22,1.5,1.25,2.5,False,True,10000.0,10145.04,145.04,1.45,2,50.0,2.42,0.74,-0.99,111.41000000000001
90,25,1.5,1.25,2.5,False,True,10000.0,10145.04,145.04,1.45,2,50.0,2.42,0.74,-0.99,111.41000000000001
90,30,1.5,1.25,2.5,False,True,10000.0,10145.04,145.04,1.45,2,50.0,2.42,0.74,-0.99,111.41000000000001
90,18,1.5,1.0,2.5,False,True,10000.0,10144.83,144.83,1.45,2,50.0,2.41,0.74,-1.0,111.05000000000001
90,22,1.5,1.0,2.5,False,True,10000.0,10144.83,144.83,1.45,2,50.0,2.41,0.74,-1.0,111.05000000000001
90,25,1.5,1.0,2.5,False,True,10000.0,10144.83,144.83,1.45,2,50.0,2.41,0.74,-1.0,111.05000000000001
90,30,1.5,1.0,2.5,False,True,10000.0,10144.83,144.83,1.45,2,50.0,2.41,0.74,-1.0,111.05000000000001
75,18,1.2,1.25,2.0,True,False,10000.0,11655.09,1655.09,16.55,35,48.57,1.82,0.45,-4.93,110.584
75,18,1.0,1.25,2.0,True,False,10000.0,11654.24,1654.24,16.54,35,48.57,1.82,0.45,-4.93,110.564
75,18,1.2,1.5,2.5,True,False,10000.0,11577.47,1577.47,15.77,30,43.33,1.83,0.51,-4.08,110.376
75,18,1.0,1.5,2.5,True,False,10000.0,11576.97,1576.97,15.77,30,43.33,1.83,0.51,-4.09,110.366
80,18,1.5,1.25,2.0,True,False,10000.0,11323.29,1323.29,13.23,26,50.0,1.92,0.49,-3.91,109.55
85,18,1.2,1.25,2.0,True,False,10000.0,11323.29,1323.29,13.23,26,50.0,1.92,0.49,-3.91,109.55
85,18,1.5,1.25,2.0,True,False,10000.0,11323.29,1323.29,13.23,26,50.0,1.92,0.49,-3.91,109.55
80,25,1.2,1.0,1.5,True,False,10000.0,11104.28,1104.28,11.04,24,58.33,2.02,0.45,-3.96,109.486
80,25,1.5,1.0,1.5,True,False,10000.0,11104.28,1104.28,11.04,24,58.33,2.02,0.45,-3.96,109.486
85,25,1.2,1.0,1.5,True,False,10000.0,11104.28,1104.28,11.04,24,58.33,2.02,0.45,-3.96,109.486
85,25,1.5,1.0,1.5,True,False,10000.0,11104.28,1104.28,11.04,24,58.33,2.02,0.45,-3.96,109.486
75,25,1.5,1.5,1.5,True,True,10000.0,11747.96,1747.96,17.48,48,54.17,1.73,0.35,-4.0,109.344
75,30,1.5,1.5,1.5,True,True,10000.0,11747.96,1747.96,17.48,48,54.17,1.73,0.35,-4.0,109.344
80,25,1.0,1.5,2.5,True,False,10000.0,11163.12,1163.12,11.63,20,45.0,1.96,0.57,-2.97,109.28999999999999
85,25,1.0,1.5,2.5,True,False,10000.0,11163.12,1163.12,11.63,20,45.0,1.96,0.57,-2.97,109.28999999999999
80,22,1.2,1.25,1.5,True,False,10000.0,11110.02,1110.02,11.1,24,58.33,2.01,0.45,-3.93,109.28599999999999
